time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-03T19:44:34.834Z,-0.4025,124.3859,80.46,4.4,mb,,56,1.734,1.17,us,us6000frcv,2021-10-03T20:08:32.040Z,"180 km SE of Gorontalo, Indonesia",earthquake,6.7,11.1,0.13,17,reviewed,us,us
2021-10-03T18:33:31.630Z,19.1485004425049,-155.448837280273,32.7299995422363,2.51999998,md,44,166,,0.150000006,hv,hv72738957,2021-10-03T19:56:27.040Z,"Island of Hawaii, Hawaii",earthquake,0.61,0.910000026,0.319999993,25,automatic,hv,hv
2021-10-03T16:37:23.890Z,31.9248333,-116.2801667,16.91,2.74,ml,12,120,0.2934,0.21,ci,ci40062016,2021-10-03T17:10:48.040Z,"33km E of Ensenada, B.C., MX",earthquake,0.6,1.85,0.136,25,automatic,ci,ci
2021-10-03T15:53:37.362Z,52.1044,-171.1604,45.56,4.5,mb,,138,1.654,0.66,us,us6000frc5,2021-10-03T23:02:04.604Z,"181 km WSW of Nikolski, Alaska",earthquake,8.7,5,0.043,157,reviewed,us,us
2021-10-03T15:42:17.491Z,46.6685,10.8035,10,2.5,ml,,140,0.375,0.75,us,us6000frc4,2021-10-03T22:10:54.167Z,"5 km NNE of Silandro, Italy",earthquake,1.6,1.9,0.06,36,reviewed,us,us
2021-10-03T14:13:36.962Z,36.37333298,-98.13555145,0.9713716507,2.56,ml,72,50.70518875,0.1796145439,0.7099512673,ok,ok2021tjnn,2021-10-03T15:17:09.759Z,"4 km ESE of Meno, Oklahoma",earthquake,1.401001437,1.195293833,,54,automatic,ok,ok
2021-10-03T13:23:20.833Z,21.242,119.8983,10,4.6,mb,,79,1.913,0.44,us,us6000frbd,2021-10-03T14:57:03.040Z,"121 km SW of Hengchun, Taiwan",earthquake,7,1.7,0.092,35,reviewed,us,us
2021-10-03T12:54:56.450Z,19.1823329925537,-155.472503662109,35.7400016784668,2.5,md,41,87,,0.119999997,hv,hv72738697,2021-10-03T12:58:13.250Z,"2 km SSE of Pāhala, Hawaii",earthquake,0.62,0.850000024,2.05999994,14,automatic,hv,hv
2021-10-03T12:02:00.480Z,37.2326667,-121.6146667,3.89,3.29,ml,178,37,0.05353,0.11,nc,nc73632846,2021-10-04T06:24:02.654Z,"12km NNE of Morgan Hill, CA",earthquake,0.07,0.21,0.166,96,reviewed,nc,nc
2021-10-03T11:01:52.410Z,17.986,-65.861,9,3.07,md,10,197,0.1565,0.15,pr,pr2021276000,2021-10-03T14:47:18.588Z,"2 km SE of Emajagua, Puerto Rico",earthquake,0.81,1.1,0.16,7,reviewed,pr,pr
